ccn,facility_name,parent_system,facilities_in_system,state,city,beds,has_ED,has_behavioral_unit,hos_majteach,hos_highdpp,hos_highuc,mandate_name,mandate_status,mandate_scope,effective_date,edm_seed_title,fit_pass,acute_need,event,gravity,forge_total,forge_tier,forge_rationale,is_qso_candidate,edm_seed_redacted
060009,LUTHERAN MEDICAL CENTER,Intermountain Healthcare,33,CO,Wheat Ridge,338,True,True,0,0,0,SB25-166,Upcoming,state,2026-07-01,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (SB25-166 Upcoming ≤12mo (2026-07-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
060012,ST MARY-CORWIN HOSPITAL,CommonSpirit Health,145,CO,Pueblo,408,False,True,1,0,1,SB25-166,Upcoming,state,2026-07-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (SB25-166 Upcoming ≤12mo (2026-07-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
070002,ST FRANCIS HOSPITAL & MEDICAL CENTER,Trinity Health,105,CT,Hartford,617,True,True,1,0,0,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,,True,2,3,0,0,X,"Acute=2 (higher-acuity (major teaching, behavioral health unit); proxy) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
070008,JOHNSON MEMORIAL HOSPITAL,Trinity Health,105,CT,Stafford Springs,92,True,True,0,0,0,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
070016,SAINT MARY'S HOSPITAL,Trinity Health,105,CT,Waterbury,347,True,True,1,0,0,PA 11-175; PA 24-19; PA 26-12,Upcoming,state,2026-10-01,,True,2,3,0,0,X,"Acute=2 (higher-acuity (major teaching, behavioral health unit); proxy) · Event=3 (PA 11-175; PA 24-19; PA 26-12 Upcoming ≤12mo (2026-10-01)) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
100001,SHANDS JACKSONVILLE,UF Health,5,FL,Jacksonville,715,True,False,1,1,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,Chief Financial Officer,True,3,0,3,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=0 (no state-specific mandate (scope=federal)) · Gravity=3 (Chief Financial Officer at 715-bed system facility (5-facility)),False,True
100002,BETHESDA HOSPITAL EAST,Baptist Health South Florida,9,FL,Boynton Beach,481,True,True,0,0,1,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,,True,3,0,0,0,X,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=0 (no state-specific mandate (scope=federal)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
100006,ORLANDO HEALTH,Orlando Health,5,FL,Orlando,2024,True,True,0,1,0,H.R.2531 / S.1232 (119th),In force,federal,2025-04-01,"Medical Director, PICU",True,3,0,3,0,X,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=0 (no state-specific mandate (scope=federal)) · Gravity=3 (Medical Director, PICU at 2024-bed system facility (5-facility))",False,True
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,Trinity Health,105,IL,Melrose Park,274,True,True,0,0,1,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
140029,COPLEY MEMORIAL HOSPITAL,Rush System for Health,3,IL,Aurora,210,True,False,0,0,1,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high UC); proxy via AHRQ) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
140032,ST ANTHONYS MEMORIAL HOSPITAL,Hospital Sisters Health System,17,IL,Effingham,146,True,False,0,0,0,Health Care Violence Prevention Act 210 ILCS 160; HB3435 (2025),In force,state,2026-01-01,,True,1,3,0,0,X,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (Health Care Violence Prevention Act 210  In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
190002,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,Ochsner Health System,36,LA,Lafayette,526,True,True,0,1,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
190006,OCHSNER UNIVERSITY HOSPITAL AND CLINICS,Ochsner Health System,36,LA,Lafayette,116,True,True,1,1,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
190008,TERREBONNE GENERAL MEDICAL CENTER - PARISH,,,LA,Houma,315,True,False,0,0,0,R.S. 40:2199.11–.19 (Lynne Truxillo Act),In force,state,2022-08-01,,True,1,3,0,0,X,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (R.S. 40:2199.11–.19 (Lynne Truxillo Act) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,UMass Memorial Health Care,6,MA,Leominster,150,True,True,0,0,0,H.4767 / S.1718,Upcoming,state,,,True,2,2,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=2 (H.4767 / S.1718 Upcoming (no date)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
220015,"COOLEY DICKINSON HOSPITAL INC,THE",Mass General Brigham,15,MA,Northampton,142,True,True,0,0,0,H.4767 / S.1718,Upcoming,state,,,True,2,2,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=2 (H.4767 / S.1718 Upcoming (no date)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
220017,CARNEY HOSPITAL,Steward Health Care System,36,MA,Boston,135,True,True,1,1,1,H.4767 / S.1718,Upcoming,state,,,True,3,2,0,0,X,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=2 (H.4767 / S.1718 Upcoming (no date)) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
210001,MERITUS MEDICAL CENTER,Meritus Health,1,MD,Hagerstown,271,True,False,0,0,0,Davis Martinez Public Employee Safety & Health Act,Upcoming,state,2026-10-01,,True,1,3,0,0,X,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (Davis Martinez Public Employee Safety &  Upcoming ≤12mo (2026-10-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
210003,UNIVERSITY OF MD CAPITAL REGION MEDICAL CENTER,University of Maryland Medical System,13,MD,Upper Marlboro,224,True,True,0,1,0,Davis Martinez Public Employee Safety & Health Act,Upcoming,state,2026-10-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Davis Martinez Public Employee Safety &  Upcoming ≤12mo (2026-10-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
210018,MEDSTAR MONTGOMERY MEDICAL CENTER,MedStar Health,10,MD,Olney,165,True,True,0,0,0,Davis Martinez Public Employee Safety & Health Act,Upcoming,state,2026-10-01,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (Davis Martinez Public Employee Safety &  Upcoming ≤12mo (2026-10-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,HCA Healthcare,185,NC,Asheville,730,True,True,0,0,0,HB125 (SL 2023-129); GS §14-34.6,In force,state,2023-10-01,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (HB125 (SL 2023-129); GS §14-34.6 In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
340017,PARDEE HOSPITAL HENDERSON COUNTY,UNC Health Care System,15,NC,Hendersonville,222,True,True,0,0,0,HB125 (SL 2023-129); GS §14-34.6,In force,state,2023-10-01,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (HB125 (SL 2023-129); GS §14-34.6 In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
340039,IREDELL MEMORIAL HOSPITAL INC,Iredell Health System,1,NC,Statesville,247,True,False,0,0,0,HB125 (SL 2023-129); GS §14-34.6,In force,state,2023-10-01,,True,1,3,0,0,X,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (HB125 (SL 2023-129); GS §14-34.6 In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
310006,ST MARY'S GENERAL HOSPITAL,Prime Healthcare Services,45,NJ,Passaic,286,True,True,1,1,0,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
310010,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,University of Pennsylvania Health System,9,NJ,Plainsboro,375,True,True,0,0,0,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
310019,ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,Saint Josephs Health,2,NJ,Paterson,566,False,False,1,1,0,N.J.S.A. 26:2H-5.17 (Violence Prevention in Health Care Facilities Act),In force,state,,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (N.J.S.A. 26:2H-5.17 (Violence Prevention In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
330006,ST JOSEPH'S MEDICAL CENTER,Saint Joseph Medical Center,1,NY,Yonkers,332,True,True,0,1,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
330009,BRONXCARE HOSPITAL CENTER,BronxCare Health System,1,NY,Bronx,579,True,True,1,1,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
330033,CHENANGO MEMORIAL HOSPITAL,United Health Services,3,NY,Norwich,58,True,False,0,0,0,Ch.618/2025 (A203-B/S5294-B); Labor Law §27-b (public),Upcoming,state,2027-01-01,,True,1,3,0,0,X,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (Ch.618/2025 (A203-B/S5294-B); Labor Law  Upcoming ≤12mo (2027-01-01)) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
380002,ASANTE THREE RIVERS MEDICAL CENTER,Asante Health System,3,OR,Grants Pass,150,True,False,0,1,0,ORS 654.412 (HB2022) + SB537 (2025),In force,state,2026-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ORS 654.412 (HB2022) + SB537 (2025) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
380007,LEGACY EMANUEL MEDICAL CENTER,Legacy Health,7,OR,Portland,554,True,True,0,1,1,ORS 654.412 (HB2022) + SB537 (2025),In force,state,2026-01-01,,True,3,3,0,0,X,"Acute=3 (safety-net hospital (high DSH, high UC); proxy via AHRQ) · Event=3 (ORS 654.412 (HB2022) + SB537 (2025) In force) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
380009,OHSU HOSPITAL AND CLINICS,Oregon Health and Science University,2,OR,Portland,560,True,False,1,1,0,ORS 654.412 (HB2022) + SB537 (2025),In force,state,2026-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (ORS 654.412 (HB2022) + SB537 (2025) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
450002,THE HOSPITALS OF PROVIDENCE - MEMORIAL CAMPUS,Tenet Healthcare,77,TX,El Paso,486,True,True,0,1,0,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,,True,3,3,0,0,X,"Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
450010,UNITED REGIONAL HEALTH CARE SYSTEM,United Regional Health Care System,1,TX,Wichita Falls,565,True,True,0,0,0,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,,True,2,3,0,0,X,"Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
450011,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,CommonSpirit Health,145,TX,Bryan,316,True,True,0,0,0,"SB240 (88R, 2023) → Health & Safety Code Ch. 331",In force,state,2024-09-01,,True,2,3,0,0,X,"Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (SB240 (88R, 2023) → Health & Safety Code In force) · Gravity=0 (no edm_seed (NPPES unmatched))",False,False
500016,CONFLUENCE HEALTH HOSPITAL,Confluence Health,3,WA,Wenatchee,198,True,True,0,0,0,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,,True,2,3,0,0,X,Acute=2 (higher-acuity (behavioral health unit); proxy) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
500036,YAKIMA VALLEY MEMORIAL,Multicare Health System,11,WA,Yakima,218,True,True,0,1,0,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,,True,3,3,0,0,X,Acute=3 (safety-net hospital (high DSH); proxy via AHRQ) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
500052,KAISER PERMANENTE CENTRAL HOSPITAL,,,WA,Seattle,346,True,False,,,,RCW 49.19 (HB1162/SB5162 2025),In force,state,2026-01-01,,True,1,3,0,0,X,Acute=1 (no AHRQ proxy signal; Tier-B will refine) · Event=3 (RCW 49.19 (HB1162/SB5162 2025) In force) · Gravity=0 (no edm_seed (NPPES unmatched)),False,False
